TotalDue,SubTotal,TaxAmt,Freight,ProductID,StoreID,TerritoryID,OrderDate
83955.492,74577.1531,7145.4011,2232.9378,707,302,4,2014-03-01 00:00:00.000
60965.9531,54076.886,5248.813,1640.2541,707,370,4,2014-03-31 00:00:00.000
38762.014,34349.2656,3362.094,1050.6544,707,372,4,2014-03-31 00:00:00.000
41445.5381,36831.1713,3515.708,1098.6588,707,534,10,2014-03-01 00:00:00.000
64488.2624,57288.1826,5485.7751,1714.3047,707,538,8,2014-03-01 00:00:00.000
20340.8201,18057.942,1739.3357,543.5424,707,562,6,2014-03-31 00:00:00.000
49758.7821,44228.9437,4213.2102,1316.6282,707,580,6,2014-03-31 00:00:00.000
54747.0981,48642.5503,4651.084,1453.4638,707,582,8,2014-03-31 00:00:00.000
71861.7017,63841.3128,6110.7725,1909.6164,707,598,4,2014-03-31 00:00:00.000
119641.1984,106268.238,10188.9222,3184.0382,707,600,1,2014-03-31 00:00:00.000
35965.7889,31964.604,3048.5218,952.6631,707,602,10,2014-03-31 00:00:00.000
20489.6678,18220.9299,1728.5622,540.1757,707,622,6,2014-03-31 00:00:00.000
130907.0496,116153.8278,11240.5499,3512.6719,707,652,4,2014-03-01 00:00:00.000
64195.7045,57037.067,5454.20,1704.4375,707,656,1,2014-03-31 00:00:00.000
47216.7035,41944.4472,4016.9572,1255.2991,707,692,2,2014-03-01 00:00:00.000
62443.3527,55487.5731,5299.6416,1656.138,707,762,1,2014-03-01 00:00:00.000
39660.6632,35209.9636,3391.0092,1059.6904,707,768,6,2014-03-01 00:00:00.000
71870.6067,63761.3483,6178.4826,1930.7758,707,770,8,2014-03-01 00:00:00.000
41505.9586,36885.8796,3520.0602,1100.0188,707,792,5,2014-03-01 00:00:00.000
28600.0992,25434.382,2411.975,753.7422,707,794,6,2014-03-31 00:00:00.000
93966.6591,83147.6449,8243.0584,2575.9558,707,808,7,2014-03-31 00:00:00.000
36073.4357,32062.032,3056.3076,955.0961,707,816,4,2014-03-31 00:00:00.000
39835.3914,35272.6228,3476.3951,1086.3735,707,834,8,2014-03-31 00:00:00.000
60603.5735,53770.9719,5205.7917,1626.8099,707,874,4,2014-03-01 00:00:00.000
31219.2619,27769.0151,2628.7595,821.4873,707,954,3,2014-03-01 00:00:00.000
47023.0049,41672.7142,4076.412,1273.8787,707,962,7,2014-03-31 00:00:00.000
26753.1995,23801.0431,2249.262,702.8944,707,982,7,2014-03-01 00:00:00.000
34885.0758,31001.682,2958.7762,924.6176,707,1030,5,2014-03-31 00:00:00.000
105415.7003,92941.2222,9504.3643,2970.1138,707,1032,1,2014-03-31 00:00:00.000
44393.2159,39450.7848,3765.6618,1176.7693,707,1046,5,2014-03-01 00:00:00.000
36529.0479,32467.1531,3094.777,967.1178,707,1086,2,2014-03-01 00:00:00.000
26890.6676,23913.45,2268.3563,708.8613,707,1200,6,2014-03-31 00:00:00.000
48193.9576,42715.1988,4174.2924,1304.4664,707,1220,10,2014-03-31 00:00:00.000
37338.2108,33171.1091,3174.9346,992.1671,707,1230,1,2014-03-31 00:00:00.000
31319.894,27830.1316,2658.8666,830.8958,707,1234,7,2014-03-01 00:00:00.000
55900.0851,49565.5983,4826.2757,1508.2111,707,1236,6,2014-03-31 00:00:00.000
