TotalDue,SubTotal,TaxAmt,Freight,ProductID,StoreID,TerritoryID,OrderDate
37497.4457,33319.986,3182.8264,994.6333,707,294,4,2014-05-01 00:00:00.000
65263.2967,57990.6876,5541.0355,1731.5736,707,300,9,2014-05-01 00:00:00.000
83485.5786,74160.228,7105.029,2220.3216,707,432,10,2014-05-01 00:00:00.000
38351.3282,34063.824,3266.6699,1020.8343,707,444,2,2014-05-01 00:00:00.000
33518.1337,29709.336,2901.9411,906.8566,707,446,8,2014-05-01 00:00:00.000
36122.4266,32109.4774,3057.4851,955.4641,707,464,6,2014-05-01 00:00:00.000
64129.7735,56986.6066,5442.4129,1700.754,707,480,5,2014-05-01 00:00:00.000
39933.1824,35331.66,3505.9218,1095.6006,707,516,3,2014-05-01 00:00:00.000
46817.7044,41583.0985,3988.2712,1246.3347,707,618,6,2014-05-01 00:00:00.000
29946.7447,26632.9708,2524.7801,788.9938,707,642,4,2014-05-01 00:00:00.000
41281.1519,36712.7103,3480.7174,1087.7242,707,798,5,2014-05-01 00:00:00.000
73045.0853,64704.8794,6354.4426,1985.7633,707,828,6,2014-05-01 00:00:00.000
101268.2686,89869.2763,8684.9465,2714.0458,707,856,10,2014-05-01 00:00:00.000
93791.205,83076.5709,8163.5307,2551.1034,707,928,6,2014-05-01 00:00:00.000
73316.5808,65123.4634,6242.3752,1950.7422,707,984,10,2014-05-01 00:00:00.000
35147.0619,31229.8394,2984.5505,932.672,707,1038,9,2014-05-01 00:00:00.000
26650.8872,23686.98,2258.215,705.6922,707,1042,9,2014-05-01 00:00:00.000
34402.4145,30435.5859,3022.3456,944.483,707,1188,3,2014-05-01 00:00:00.000
2898.9641,2567.046,252.89,79.0281,707,1204,4,2014-05-01 00:00:00.000
79038.3895,70205.79,6729.5996,2102.9999,707,1248,2,2014-05-01 00:00:00.000
67670.384,59894.2092,5924.7046,1851.4702,707,1278,4,2014-05-01 00:00:00.000
43002.1118,38145.9918,3699.901,1156.219,707,1322,6,2014-05-01 00:00:00.000
74488.5028,65683.368,6708.6741,2096.4607,707,1336,4,2014-05-01 00:00:00.000
38394.4727,34123.6677,3253.9467,1016.8583,707,1356,2,2014-05-01 00:00:00.000
40340.2721,35805.7413,3454.8806,1079.6502,707,1830,7,2014-05-01 00:00:00.000
89908.8786,79589.616,7862.2953,2456.9673,707,1844,10,2014-05-01 00:00:00.000
33193.6326,29496.174,2817.1113,880.3473,707,1914,8,2014-05-01 00:00:00.000
33422.5611,29703.312,2833.7136,885.5355,707,1938,9,2014-05-01 00:00:00.000
31448.9008,27950.1974,2665.6788,833.0246,707,1950,9,2014-05-01 00:00:00.000
36878.2723,32700.6053,3182.9844,994.6826,707,1994,3,2014-05-01 00:00:00.000
37497.4457,33319.986,3182.8264,994.6333,708,294,4,2014-05-01 00:00:00.000
65263.2967,57990.6876,5541.0355,1731.5736,708,300,9,2014-05-01 00:00:00.000
83485.5786,74160.228,7105.029,2220.3216,708,432,10,2014-05-01 00:00:00.000
59770.9041,53083.446,5095.2062,1592.2519,708,442,1,2014-05-01 00:00:00.000
38351.3282,34063.824,3266.6699,1020.8343,708,444,2,2014-05-01 00:00:00.000
33518.1337,29709.336,2901.9411,906.8566,708,446,8,2014-05-01 00:00:00.000
36122.4266,32109.4774,3057.4851,955.4641,708,464,6,2014-05-01 00:00:00.000
64129.7735,56986.6066,5442.4129,1700.754,708,480,5,2014-05-01 00:00:00.000
7950.3239,7071.60,669.5039,209.22,708,512,6,2014-05-01 00:00:00.000
39933.1824,35331.66,3505.9218,1095.6006,708,516,3,2014-05-01 00:00:00.000
8916.6645,7927.8006,753.4201,235.4438,708,544,2,2014-05-01 00:00:00.000
46817.7044,41583.0985,3988.2712,1246.3347,708,618,6,2014-05-01 00:00:00.000
29946.7447,26632.9708,2524.7801,788.9938,708,642,4,2014-05-01 00:00:00.000
41281.1519,36712.7103,3480.7174,1087.7242,708,798,5,2014-05-01 00:00:00.000
73045.0853,64704.8794,6354.4426,1985.7633,708,828,6,2014-05-01 00:00:00.000
101268.2686,89869.2763,8684.9465,2714.0458,708,856,10,2014-05-01 00:00:00.000
93791.205,83076.5709,8163.5307,2551.1034,708,928,6,2014-05-01 00:00:00.000
73316.5808,65123.4634,6242.3752,1950.7422,708,984,10,2014-05-01 00:00:00.000
35147.0619,31229.8394,2984.5505,932.672,708,1038,9,2014-05-01 00:00:00.000
26650.8872,23686.98,2258.215,705.6922,708,1042,9,2014-05-01 00:00:00.000
34402.4145,30435.5859,3022.3456,944.483,708,1188,3,2014-05-01 00:00:00.000
79038.3895,70205.79,6729.5996,2102.9999,708,1248,2,2014-05-01 00:00:00.000
67670.384,59894.2092,5924.7046,1851.4702,708,1278,4,2014-05-01 00:00:00.000
43002.1118,38145.9918,3699.901,1156.219,708,1322,6,2014-05-01 00:00:00.000
74488.5028,65683.368,6708.6741,2096.4607,708,1336,4,2014-05-01 00:00:00.000
38394.4727,34123.6677,3253.9467,1016.8583,708,1356,2,2014-05-01 00:00:00.000
1537.2045,1365.582,130.76,40.8625,708,1368,6,2014-05-01 00:00:00.000
40340.2721,35805.7413,3454.8806,1079.6502,708,1830,7,2014-05-01 00:00:00.000
32575.89,28843.6551,2843.6075,888.6274,708,1890,1,2014-05-01 00:00:00.000
33193.6326,29496.174,2817.1113,880.3473,708,1914,8,2014-05-01 00:00:00.000
33422.5611,29703.312,2833.7136,885.5355,708,1938,9,2014-05-01 00:00:00.000
31448.9008,27950.1974,2665.6788,833.0246,708,1950,9,2014-05-01 00:00:00.000
36878.2723,32700.6053,3182.9844,994.6826,708,1994,3,2014-05-01 00:00:00.000
37497.4457,33319.986,3182.8264,994.6333,711,294,4,2014-05-01 00:00:00.000
65263.2967,57990.6876,5541.0355,1731.5736,711,300,9,2014-05-01 00:00:00.000
83485.5786,74160.228,7105.029,2220.3216,711,432,10,2014-05-01 00:00:00.000
59770.9041,53083.446,5095.2062,1592.2519,711,442,1,2014-05-01 00:00:00.000
38351.3282,34063.824,3266.6699,1020.8343,711,444,2,2014-05-01 00:00:00.000
33518.1337,29709.336,2901.9411,906.8566,711,446,8,2014-05-01 00:00:00.000
36122.4266,32109.4774,3057.4851,955.4641,711,464,6,2014-05-01 00:00:00.000
64129.7735,56986.6066,5442.4129,1700.754,711,480,5,2014-05-01 00:00:00.000
2394.2145,2127.522,203.1943,63.4982,711,506,4,2014-05-01 00:00:00.000
